t,xL,yL,thetaL,x1,y1,theta1,x2,y2,theta2,x3,y3,theta3
3.1,0.453741,0.824966,-0.00148926,0.23954,1.20841,-0.843271,0.239633,0.44209,0.849066,-0.651357,0.120708,0.631234
3.15,0.453741,0.824966,-0.00148926,0.23954,1.20841,-0.843271,0.239633,0.44209,0.849066,-0.651357,0.120708,0.631234
3.2,0.453742,0.824966,-0.00152943,0.24027,1.20756,-0.863554,0.240363,0.442937,0.870041,-0.645342,0.125162,0.641623
3.25,0.453742,0.824966,-0.00152943,0.24027,1.20756,-0.863554,0.240363,0.442937,0.870041,-0.645342,0.125162,0.641623
3.3,0.453754,0.824966,-0.00157083,0.240945,1.20674,-0.883187,0.24105,0.443769,0.890424,-0.639385,0.129657,0.651385
3.35,0.453754,0.824966,-0.00157083,0.240945,1.20674,-0.883187,0.24105,0.443769,0.890424,-0.639385,0.129657,0.651385
3.4,0.453754,0.824966,-0.00157083,0.240945,1.20674,-0.883187,0.24105,0.443769,0.890424,-0.639385,0.129657,0.651385
3.45,0.453736,0.824965,-0.00161643,0.241602,1.20591,-0.902177,0.24171,0.444608,0.910254,-0.633462,0.134214,0.660559
3.5,0.453736,0.824965,-0.00161643,0.241602,1.20591,-0.902177,0.24171,0.444608,0.910254,-0.633462,0.134214,0.660559
3.55,0.453726,0.824965,-0.00165642,0.242234,1.20509,-0.920749,0.242336,0.445436,0.929505,-0.627574,0.138828,0.669174
3.6,0.453726,0.824965,-0.00165642,0.242234,1.20509,-0.920749,0.242336,0.445436,0.929505,-0.627574,0.138828,0.669174
3.65,0.453728,0.824964,-0.00169793,0.242828,1.20429,-0.938602,0.242921,0.446246,0.94818,-0.621716,0.143499,0.677274
3.7,0.453728,0.824964,-0.00169793,0.242828,1.20429,-0.938602,0.242921,0.446246,0.94818,-0.621716,0.143499,0.677274
3.75,0.453728,0.824964,-0.00169793,0.242828,1.20429,-0.938602,0.242921,0.446246,0.94818,-0.621716,0.143499,0.677274
3.8,0.453738,0.824964,-0.00173656,0.243386,1.2035,-0.95581,0.243485,0.44705,0.966409,-0.615888,0.14823,0.684897
3.85,0.453738,0.824964,-0.00173656,0.243386,1.2035,-0.95581,0.243485,0.44705,0.966409,-0.615888,0.14823,0.684897
3.9,0.453722,0.824963,-0.00178251,0.243902,1.20273,-0.971959,0.243999,0.447817,0.983601,-0.610119,0.152981,0.691636
3.95,0.453722,0.824963,-0.00178251,0.243902,1.20273,-0.971959,0.243999,0.447817,0.983601,-0.610119,0.152981,0.691636
4,0.453719,0.824963,-0.00182218,0.244405,1.20195,-0.988092,0.244498,0.448595,1.00076,-0.604391,0.157758,0.698346
4.05,0.453719,0.824963,-0.00182218,0.244405,1.20195,-0.988092,0.244498,0.448595,1.00076,-0.604391,0.157758,0.698346
4.1,0.453719,0.824963,-0.00182218,0.244405,1.20195,-0.988092,0.244498,0.448595,1.00076,-0.604391,0.157758,0.698346
4.15,0.453728,0.824962,-0.00186122,0.244902,1.20121,-1.00382,0.244979,0.449371,1.0175,-0.598683,0.16258,0.704648
4.2,0.453728,0.824962,-0.00186122,0.244902,1.20121,-1.00382,0.244979,0.449371,1.0175,-0.598683,0.16258,0.704648
4.25,0.453704,0.824961,-0.00190916,0.245344,1.20048,-1.01827,0.245414,0.4501,1.0333,-0.592998,0.167442,0.710241
4.3,0.453704,0.824961,-0.00190916,0.245344,1.20048,-1.01827,0.245414,0.4501,1.0333,-0.592998,0.167442,0.710241
4.35,0.453685,0.824961,-0.00194761,0.24578,1.19975,-1.03278,0.245838,0.450837,1.04912,-0.587328,0.172346,0.715831
4.4,0.453685,0.824961,-0.00194761,0.24578,1.19975,-1.03278,0.245838,0.450837,1.04912,-0.587328,0.172346,0.715831
4.45,0.453685,0.824961,-0.00194761,0.24578,1.19975,-1.03278,0.245838,0.450837,1.04912,-0.587328,0.172346,0.715831
4.5,0.453679,0.824961,-0.00198729,0.246193,1.19906,-1.04702,0.246246,0.451573,1.06447,-0.58168,0.177286,0.721101
4.55,0.453679,0.824961,-0.00198729,0.246193,1.19906,-1.04702,0.246246,0.451573,1.06447,-0.58168,0.177286,0.721101
4.6,0.453685,0.82496,-0.00202517,0.246575,1.19839,-1.06013,0.246614,0.452262,1.07901,-0.576052,0.182258,0.725789
4.65,0.453685,0.82496,-0.00202517,0.246575,1.19839,-1.06013,0.246614,0.452262,1.07901,-0.576052,0.182258,0.725789
4.7,0.453685,0.82496,-0.00202517,0.246575,1.19839,-1.06013,0.246614,0.452262,1.07901,-0.576052,0.182258,0.725789
4.75,0.453704,0.82496,-0.00206562,0.246949,1.19771,-1.0732,0.246972,0.452957,1.09357,-0.570487,0.187224,0.730493
4.8,0.453704,0.82496,-0.00206562,0.246949,1.19771,-1.0732,0.246972,0.452957,1.09357,-0.570487,0.187224,0.730493
4.85,0.453696,0.82496,-0.00212203,0.247283,1.19706,-1.0855,0.247224,0.452992,1.06749,-0.564935,0.192222,0.734676
4.9,0.453696,0.82496,-0.00212203,0.247283,1.19706,-1.0855,0.247224,0.452992,1.06749,-0.564935,0.192222,0.734676
4.95,0.45369,0.82496,-0.00214211,0.24757,1.19704,-1.06248,0.247268,0.453054,1.03459,-0.5594,0.19725,0.738642
5,0.45369,0.82496,-0.00214211,0.24757,1.19704,-1.06248,0.247268,0.453054,1.03459,-0.5594,0.19725,0.738642
5.05,0.45369,0.82496,-0.00214211,0.24757,1.19704,-1.06248,0.247268,0.453054,1.03459,-0.5594,0.19725,0.738642
5.1,0.453697,0.82496,-0.00215437,0.24761,1.19698,-1.02975,0.247281,0.453057,1.00168,-0.553869,0.202311,0.742584
5.15,0.453697,0.82496,-0.00215437,0.24761,1.19698,-1.02975,0.247281,0.453057,1.00168,-0.553869,0.202311,0.742584
5.2,0.453694,0.82496,-0.00217043,0.247642,1.19695,-0.99709,0.247279,0.453036,0.968708,-0.548348,0.207397,0.746084
5.25,0.453694,0.82496,-0.00217043,0.247642,1.19695,-0.99709,0.247279,0.453036,0.968708,-0.548348,0.207397,0.746084
5.3,0.453694,0.82496,-0.00217043,0.247642,1.19695,-0.99709,0.247279,0.453036,0.968708,-0.548348,0.207397,0.746084
5.35,0.453682,0.824959,-0.0022022,0.247649,1.19696,-0.964387,0.247285,0.453027,0.93574,-0.542878,0.212467,0.749562
5.4,0.453682,0.824959,-0.0022022,0.247649,1.19696,-0.964387,0.247285,0.453027,0.93574,-0.542878,0.212467,0.749562
5.45,0.453682,0.824959,-0.00223376,0.247661,1.19696,-0.931685,0.247298,0.453029,0.902773,-0.537414,0.217563,0.752638
5.5,0.453682,0.824959,-0.00223376,0.247661,1.19696,-0.931685,0.247298,0.453029,0.902773,-0.537414,0.217563,0.752638
5.55,0.453692,0.824959,-0.00226436,0.247681,1.19695,-0.898981,0.247321,0.453042,0.869804,-0.531971,0.222683,0.755585
